Conteúdo,Título do vídeo,Horário de publicação do vídeo,"Marcações ""Gostei""",Inscrições obtidas,Porcentagem visualizada média (%),Duração média da visualização,Visualizações,Tempo de exibição (horas),Inscritos,Impressões
ritDwsy-qJ8,ANOVA com Dois Fatores | Estatística Básica 32,"Dec 3, 2021",225,40,18.69,0:05:05,5075,430.0245,40,60877
SB5i1cGaLFg,Estatística Descritiva | Estatística Básica 09,"Oct 27, 2020",219,12,32.15,0:05:31,2640,242.8243,12,59100
0ZpdSCECZOw,Exercício de Teste de Hipóteses | Estatística Básica 21,"Oct 4, 2021",218,31,29.56,0:03:28,5202,300.8216,30,66524
Td3ctKuO-qc,Exercício de Intervalo de Confiança da Média | Estatística Básica 15,"Sep 28, 2021",211,18,37.28,0:03:54,2994,194.7017,18,51503
sRQJu2K9kPI,Exercícios de Variáveis Aleatórias | Curso de Probabilidade 08,"May 3, 2021",203,21,28.7,0:06:17,2035,213.3197,21,32412
y1Ty1EmWpqc,Exercício de ANOVA | Estatística Básica 31,"Dec 2, 2021",201,38,24.9,0:05:05,6508,552.2453,38,66805
AgUtL10cyOQ,Exercícios de Variáveis Aleatórias Contínuas  | Curso de Probabilidade 10,"May 7, 2021",197,27,20.83,0:04:02,3189,215.1385,27,34320
9q9KRbljm0Q,Função Densidade de Probabilidade Conjunta | Curso de Probabilidade 27,"Jun 16, 2021",196,31,20.61,0:04:55,3771,309.3087,31,36264
5HEoQx9_Iwg,Teste de Hipóteses da Média | Estatística Básica 22,"Oct 5, 2021",192,23,28.62,0:06:52,2323,266.4508,23,44698
_1Q-Oo_mpmo,Média de uma Variável Aleatória  | Curso de Probabilidade 11,"May 10, 2021",182,15,26.5,0:06:29,2438,263.4879,15,37204
u4ZDWImeCvg,Teorema do Limite Central | Curso de Probabilidade 26,"Jun 14, 2021",164,13,27.93,0:05:01,1900,159.0588,13,26371
QK2BweTITwA,Variância de uma Variável Aleatória | Curso de Probabilidade 13,"May 14, 2021",163,12,31.16,0:07:27,1503,186.6748,11,25884
RnlVwQc6620,Intervalo de Confiança da Proporção | Estatística Básica 16,"Sep 29, 2021",158,11,30.92,0:06:58,2446,284.0391,11,52028
zFZg-GvCH5A,Covariância e Coeficiente de Correlação | Curso de Probabilidade 20,"May 30, 2021",154,24,26.61,0:08:09,1880,255.374,24,28754
x7qEwTjT1EQ,Exercício de Intervalo de Confiança da Proporção | Estatística Básica 17,"Sep 30, 2021",150,18,30.47,0:04:25,2474,182.7703,17,50057
rL2xoFfHNGo,Teste de Hipóteses de Duas Variâncias | Estatística Básica 28,"Dec 1, 2021",143,17,23.32,0:05:49,3012,292.5063,17,55479
f6nXayXgjZI,Distribuições de Bernoulli e Binomial | Curso de Probabilidade 14,"May 17, 2021",137,6,35.07,0:06:55,1672,193.0316,6,24348
m4EIjFZyZ0w,Distribuição Normal | Curso de Probabilidade 23,"Jun 7, 2021",134,11,30.91,0:08:53,1331,196.9828,11,20980
Wx4urIeX4hU,Distribuição Geométrica | Curso de Probabilidade 16,"May 21, 2021",130,6,35.57,0:06:14,1085,112.8757,6,22288
sMQQXjlr9qY,Distribuição Condicional Conjunta | Curso de Probabilidade 28,"Jun 18, 2021",130,12,24.65,0:03:41,1724,106.1446,11,23624
KrQSZgHFGFg,Intervalo de Confiança da Variância | Estatística Básica 18,"Oct 1, 2021",129,5,26.6,0:05:42,2082,198.1189,5,48253
